,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
18,sub006,count trash,19,wash_hands,high_emo,1,4.0,4.22999999999999,0,1
19,sub006,count trash,20,furniture,low_emo,1,2.0,1.4099999999999682,0,0
0,sub007,count trash,1,HIV,low_emo,1,1.0,1.58,0,0
1,sub007,count trash,2,drugged_driving,low_emo,0,0.0,0.0,0,0
2,sub007,count trash,3,sun_protection,low_emo,1,2.0,1.2900000000000065,0,0
3,sub007,count trash,4,education_donation,low_emo,1,1.0,1.1099999999999994,0,0
4,sub007,count trash,5,buckle_up,low_emo,1,2.0,5.420000000000002,0,1
5,sub007,count trash,6,diabetes,high_emo,1,1.0,0.3299999999999983,0,1
6,sub007,count trash,7,tech_addiction,high_emo,1,2.0,5.5,0,1
7,sub007,count trash,8,wash_hands,high_emo,1,1.0,1.2000000000000028,0,1
8,sub007,count trash,9,coffee,high_emo,1,4.0,4.070000000000007,0,1
9,sub007,count trash,10,furniture,low_emo,1,2.0,2.6200000000000045,0,1
10,sub007,count trash,11,vaccination,low_emo,1,5.0,4.129999999999996,0,0
11,sub007,count trash,12,binge_drinking,high_emo,1,2.0,1.9399999999999973,1,1
12,sub007,count trash,13,healthy_diet,high_emo,1,3.0,3.400000000000034,0,0
13,sub007,count trash,14,burger,high_emo,1,1.0,0.4899999999999807,0,0
14,sub007,count trash,15,hotel,high_emo,1,4.0,4.159999999999997,0,0
15,sub007,count trash,16,brunch,low_emo,1,2.0,3.069999999999993,1,1
16,sub007,count trash,17,smoking,low_emo,1,3.0,2.0900000000000034,1,1
17,sub007,count trash,18,text_driving,low_emo,1,3.0,3.050000000000012,0,1
18,sub007,count trash,19,marijuana,high_emo,1,4.0,4.190000000000026,1,1
19,sub007,count trash,20,vaping,high_emo,1,3.0,3.5499999999999545,1,1
0,sub008,count trash,1,HIV,high_emo,1,1.0,1.21,0,0
1,sub008,count trash,2,drugged_driving,high_emo,1,1.0,0.7099999999999973,1,1
2,sub008,count trash,3,sun_protection,high_emo,1,4.0,4.500000000000004,1,1
3,sub008,count trash,4,education_donation,high_emo,1,2.0,1.0300000000000011,0,0
4,sub008,count trash,5,buckle_up,high_emo,1,2.0,4.1000000000000085,0,0
5,sub008,count trash,6,diabetes,low_emo,0,0.0,0.0,0,1
6,sub008,count trash,7,tech_addiction,low_emo,1,3.0,2.0900000000000176,0,0
7,sub008,count trash,8,wash_hands,low_emo,0,0.0,0.0,0,0
8,sub008,count trash,9,coffee,low_emo,1,2.0,1.1400000000000148,0,0
9,sub008,count trash,10,furniture,high_emo,0,0.0,0.0,0,0
10,sub008,count trash,11,vaccination,high_emo,1,1.0,0.2999999999999829,0,0
11,sub008,count trash,12,binge_drinking,low_emo,0,0.0,0.0,0,0
12,sub008,count trash,13,healthy_diet,low_emo,0,0.0,0.0,0,1
13,sub008,count trash,14,burger,low_emo,0,0.0,0.0,0,0
14,sub008,count trash,15,hotel,low_emo,0,0.0,0.0,0,0
15,sub008,count trash,16,brunch,high_emo,0,0.0,0.0,0,0
16,sub008,count trash,17,smoking,high_emo,0,0.0,0.0,0,1
17,sub008,count trash,18,text_driving,high_emo,0,0.0,0.0,0,1
18,sub008,count trash,19,marijuana,low_emo,0,0.0,0.0,0,0
19,sub008,count trash,20,vaping,low_emo,0,0.0,0.0,0,0
0,sub009,count trash,1,diabetes,high_emo,1,2.0,1.25,0,1
1,sub009,count trash,2,text_driving,low_emo,1,5.0,2.530000000000003,0,0
2,sub009,count trash,3,vaccination,high_emo,1,1.0,1.1599999999999966,0,0
3,sub009,count trash,4,drugged_driving,high_emo,0,0.0,0.0,1,1
4,sub009,count trash,5,smoking,high_emo,1,4.0,2.940000000000005,0,0
5,sub009,count trash,6,buckle_up,low_emo,0,0.0,0.0,0,0
6,sub009,count trash,7,coffee,high_emo,1,1.0,0.2800000000000011,0,0
7,sub009,count trash,8,HIV,low_emo,0,0.0,0.0,0,1
8,sub009,count trash,9,burger,high_emo,1,2.0,1.0600000000000025,0,1
9,sub009,count trash,10,furniture,high_emo,1,4.0,2.9399999999999835,0,1
10,sub009,count trash,11,brunch,high_emo,1,1.0,0.6699999999999875,0,1
11,sub009,count trash,12,sun_protection,high_emo,1,2.0,0.6200000000000045,0,1
12,sub009,count trash,13,binge_drinking,low_emo,1,2.0,2.480000000000018,0,1
13,sub009,count trash,14,marijuana,low_emo,1,2.0,0.7700000000000102,1,1
14,sub009,count trash,15,healthy_diet,low_emo,0,0.0,0.0,1,1
15,sub009,count trash,16,wash_hands,low_emo,1,2.0,0.6399999999999864,0,0
16,sub009,count trash,17,hotel,high_emo,1,4.0,1.4999999999999716,0,0
17,sub009,count trash,18,education_donation,low_emo,1,3.0,2.0999999999999943,1,1
18,sub009,count trash,19,tech_addiction,low_emo,1,1.0,0.3100000000000023,0,1
19,sub009,count trash,20,vaping,low_emo,1,1.0,0.3600000000000136,1,1
0,sub010,count trash,1,diabetes,low_emo,1,1.0,0.3499999999999996,0,1
1,sub010,count trash,2,text_driving,high_emo,0,0.0,0.0,0,1
2,sub010,count trash,3,vaccination,low_emo,0,0.0,0.0,0,0
3,sub010,count trash,4,drugged_driving,low_emo,0,0.0,0.0,0,0
4,sub010,count trash,5,smoking,low_emo,0,0.0,0.0,0,1
5,sub010,count trash,6,buckle_up,high_emo,0,0.0,0.0,0,0
6,sub010,count trash,7,coffee,low_emo,0,0.0,0.0,0,0
7,sub010,count trash,8,HIV,high_emo,0,0.0,0.0,0,0
8,sub010,count trash,9,burger,low_emo,1,1.0,0.4399999999999977,0,0
9,sub010,count trash,10,furniture,low_emo,0,0.0,0.0,0,0
10,sub010,count trash,11,brunch,low_emo,0,0.0,0.0,0,0
11,sub010,count trash,12,sun_protection,low_emo,0,0.0,0.0,0,0
12,sub010,count trash,13,binge_drinking,high_emo,0,0.0,0.0,0,1
13,sub010,count trash,14,marijuana,high_emo,0,0.0,0.0,0,1
14,sub010,count trash,15,healthy_diet,high_emo,0,0.0,0.0,0,1
15,sub010,count trash,16,wash_hands,high_emo,0,0.0,0.0,0,0
16,sub010,count trash,17,hotel,low_emo,0,0.0,0.0,0,0
17,sub010,count trash,18,education_donation,high_emo,0,0.0,0.0,0,0
18,sub010,count trash,19,tech_addiction,high_emo,0,0.0,0.0,0,0
19,sub010,count trash,20,vaping,high_emo,1,1.0,0.5799999999999841,0,1
0,sub011,count trash,1,burger,high_emo,0,0.0,0.0,0,0
1,sub011,count trash,2,text_driving,low_emo,0,0.0,0.0,0,0
2,sub011,count trash,3,vaping,high_emo,1,2.0,2.1599999999999966,0,0
3,sub011,count trash,4,sun_protection,low_emo,1,1.0,1.1799999999999995,0,0
4,sub011,count trash,5,brunch,high_emo,1,1.0,0.269999999999996,0,0
5,sub011,count trash,6,binge_drinking,high_emo,1,1.0,0.3000000000000113,1,0
6,sub011,count trash,7,wash_hands,high_emo,1,3.0,2.4000000000000057,0,0
7,sub011,count trash,8,tech_addiction,low_emo,1,3.0,2.969999999999999,0,1
8,sub011,count trash,9,education_donation,low_emo,1,5.0,3.9900000000000233,0,1
9,sub011,count trash,10,coffee,low_emo,1,2.0,0.7900000000000063,0,0
10,sub011,count trash,11,buckle_up,high_emo,1,2.0,2.440000000000026,1,1
11,sub011,count trash,12,furniture,high_emo,1,4.0,2.8500000000000227,0,0
12,sub011,count trash,13,HIV,high_emo,1,2.0,1.5,0,0
13,sub011,count trash,14,drugged_driving,low_emo,1,2.0,1.369999999999976,0,1
14,sub011,count trash,15,marijuana,low_emo,1,2.0,1.539999999999992,0,1
15,sub011,count trash,16,vaccination,low_emo,0,0.0,0.0,0,0
16,sub011,count trash,17,healthy_diet,low_emo,1,2.0,0.8900000000000148,0,0
17,sub011,count trash,18,hotel,high_emo,0,0.0,0.0,0,0
18,sub011,count trash,19,smoking,high_emo,1,3.0,1.7300000000000182,0,0
19,sub011,count trash,20,diabetes,low_emo,0,0.0,0.0,0,0
0,sub012,count trash,1,burger,low_emo,1,2.0,1.6,0,1
1,sub012,count trash,2,text_driving,high_emo,1,3.0,3.0299999999999976,0,1
2,sub012,count trash,3,vaping,low_emo,1,3.0,3.980000000000004,1,1
3,sub012,count trash,4,sun_protection,high_emo,1,2.0,2.9200000000000017,1,1
4,sub012,count trash,5,brunch,low_emo,1,4.0,5.3899999999999935,0,1
5,sub012,count trash,6,binge_drinking,low_emo,1,3.0,2.75,1,1
6,sub012,count trash,7,wash_hands,low_emo,1,5.0,2.9200000000000017,1,1
7,sub012,count trash,8,tech_addiction,high_emo,1,6.0,2.5999999999999943,0,1
8,sub012,count trash,9,education_donation,high_emo,1,2.0,2.7900000000000063,0,1
9,sub012,count trash,10,coffee,high_emo,1,3.0,4.300000000000026,0,1
10,sub012,count trash,11,buckle_up,low_emo,1,6.0,2.759999999999991,1,1
11,sub012,count trash,12,furniture,low_emo,1,3.0,3.660000000000025,0,1
12,sub012,count trash,13,HIV,low_emo,1,2.0,3.280000000000001,0,1
13,sub012,count trash,14,drugged_driving,high_emo,1,4.0,1.849999999999966,0,1
14,sub012,count trash,15,marijuana,high_emo,1,4.0,2.099999999999966,1,1
15,sub012,count trash,16,vaccination,high_emo,1,5.0,1.6800000000000068,1,1
16,sub012,count trash,17,healthy_diet,high_emo,1,4.0,3.560000000000059,0,1
17,sub012,count trash,18,hotel,low_emo,1,1.0,3.730000000000018,1,1
18,sub012,count trash,19,smoking,low_emo,1,5.0,2.720000000000028,1,1
19,sub012,count trash,20,diabetes,high_emo,1,2.0,1.579999999999984,1,1
